Date : 2021-08-22 09:32:34
Directory : e:\GIT\FoodTech\src
Total : 133 files,  53370 codes, 373 comments, 9473 blanks, all 63216 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\GIT\FoodTech\src\public\Panel\User\css\styles.css                             | CSS        |      8,749 |         11 |      1,454 |     10,214 |
| e:\GIT\FoodTech\src\public\Panel\User\iissue.html                                | HTML       |        264 |         11 |         63 |        338 |
| e:\GIT\FoodTech\src\public\Panel\User\index.html                                 | HTML       |        177 |          8 |         81 |        266 |
| e:\GIT\FoodTech\src\public\Panel\User\js\dashboard.js                            | JavaScript |         90 |          0 |          5 |         95 |
| e:\GIT\FoodTech\src\public\Panel\User\js\script.js                               | JavaScript |         97 |          1 |         37 |        135 |
| e:\GIT\FoodTech\src\public\Panel\User\js\scripts.js                              | JavaScript |         13 |          2 |          3 |         18 |
| e:\GIT\FoodTech\src\public\css\bootstrap.min.css                                 | CSS        |          1 |          6 |          0 |          7 |
| e:\GIT\FoodTech\src\public\css\login.css                                         | CSS        |        341 |          1 |         59 |        401 |
| e:\GIT\FoodTech\src\public\css\templatemo-style.css                              | CSS        |        469 |         27 |        105 |        601 |
| e:\GIT\FoodTech\src\public\fontawesome-5.5\css\all.min.css                       | CSS        |          1 |          4 |          0 |          5 |
| e:\GIT\FoodTech\src\public\fontawesome-5.5\webfonts\fa-brands-400.svg            | XML        |      1,184 |          0 |          1 |      1,185 |
| e:\GIT\FoodTech\src\public\fontawesome-5.5\webfonts\fa-regular-400.svg           | XML        |        467 |          0 |          1 |        468 |
| e:\GIT\FoodTech\src\public\fontawesome-5.5\webfonts\fa-solid-900.svg             | XML        |      2,618 |          0 |          1 |      2,619 |
| e:\GIT\FoodTech\src\public\img\log.svg                                           | XML        |          1 |          0 |          0 |          1 |
| e:\GIT\FoodTech\src\public\img\register.svg                                      | XML        |          1 |          0 |          0 |          1 |
| e:\GIT\FoodTech\src\public\js\bootstrap.min.js                                   | JavaScript |          1 |          6 |          0 |          7 |
| e:\GIT\FoodTech\src\public\js\eventHandler.js                                    | JavaScript |         23 |          0 |          7 |         30 |
| e:\GIT\FoodTech\src\public\js\formValidate.js                                    | JavaScript |         64 |          0 |         13 |         77 |
| e:\GIT\FoodTech\src\public\js\jquery-1.9.1.min.js                                | JavaScript |          3 |          2 |          0 |          5 |
| e:\GIT\FoodTech\src\public\js\jquery.singlePageNav.min.js                        | JavaScript |          1 |          7 |          0 |          8 |
| e:\GIT\FoodTech\src\public\js\login.js                                           | JavaScript |          9 |          0 |          2 |         11 |
| e:\GIT\FoodTech\src\public\js\signup.js                                          | JavaScript |         81 |          7 |         12 |        100 |
| e:\GIT\FoodTech\src\public\magnific-popup\jquery.magnific-popup.min.js           | JavaScript |          1 |          3 |          0 |          4 |
| e:\GIT\FoodTech\src\public\magnific-popup\magnific-popup.css                     | CSS        |        310 |          6 |         36 |        352 |
| e:\GIT\FoodTech\src\public\slick\config.rb                                       | Ruby       |          8 |          0 |          2 |         10 |
| e:\GIT\FoodTech\src\public\slick\fonts\slick.svg                                 | XML        |         13 |          0 |          2 |         15 |
| e:\GIT\FoodTech\src\public\slick\slick-theme.css                                 | CSS        |        170 |          4 |         31 |        205 |
| e:\GIT\FoodTech\src\public\slick\slick-theme.less                                | Less       |        152 |          5 |         12 |        169 |
| e:\GIT\FoodTech\src\public\slick\slick-theme.scss                                | SCSS       |        170 |          9 |         16 |        195 |
| e:\GIT\FoodTech\src\public\slick\slick.css                                       | CSS        |        104 |          1 |         15 |        120 |
| e:\GIT\FoodTech\src\public\slick\slick.js                                        | JavaScript |      2,119 |         47 |        846 |      3,012 |
| e:\GIT\FoodTech\src\public\slick\slick.less                                      | Less       |         87 |          1 |         13 |        101 |
| e:\GIT\FoodTech\src\public\slick\slick.min.js                                    | JavaScript |          1 |          0 |          1 |          2 |
| e:\GIT\FoodTech\src\public\slick\slick.scss                                      | SCSS       |         87 |          1 |         13 |        101 |
| e:\GIT\FoodTech\src\router\router.js                                             | JavaScript |          2 |          1 |          3 |          6 |
| Total                                                                            |            |     53,370 |        373 |      9,473 |     63,216 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
